TIME_OF_DAY,TEMPERATURE,HUMIDITY,CO2_INFRAREDSENSOR,CO2_ELECTROCHEMICALSENSOR,METALOXIDESENSOR_UNIT1,METALOXIDESENSOR_UNIT2,METALOXIDESENSOR_UNIT3,METALOXIDESENSOR_UNIT4,CO_GASSENSOR,SESSION_ID,HVAC_OPERATION_MODE,AMBIENT_LIGHT_LEVEL,ACTIVITY_LEVEL
evening,21.89,45.21,110.15,587.22,474.36,708.52,667.47,601.68,2.0,2679,cooling active,very bright,low activity
evening,22.02,44.36,107.25,585.23,462.08,726.44,670.78,605.91,2.0,2679,off,very bright,high activity
evening,23.36,52.39,113.58,555.89,415.63,726.7,660.49,592.16,2.0,5214,off,bright,low activity
evening,21.41,45.44,108.27,576.98,468.7,712.89,686.5,591.18,2.0,2679,ventilation only,dim,high activity
evening,21.26,45.85,115.92,587.21,451.29,726.7,678.77,602.08,2.0,2679,off,bright,high activity
evening,21.2,51.42,104.5,584.97,464.51,717.56,676.97,604.68,2.0,2679,maintenance mode,bright,low activity
evening,21.04,45.99,106.01,588.04,455.39,726.7,677.51,603.86,2.0,2679,eco mode,very bright,high activity
evening,20.72,46.41,114.44,582.58,458.46,726.77,683.0,618.78,2.0,2679,maintenance mode,moderate,low activity
night,21.01,45.77,108.0,584.28,453.37,720.51,678.97,608.28,2.0,2679,ventilation only,very bright,moderate activity
night,20.81,45.89,107.85,584.87,447.86,725.38,684.09,610.53,2.0,2679,heating active,very bright,high activity
night,20.57,46.35,113.07,585.86,452.23,732.26,677.86,601.88,1.0,2679,heating active,bright,high activity
night,20.64,51.42,116.17,579.5,433.5,724.03,690.87,610.6,2.0,2679,ventilation only,bright,moderate activity
night,20.17,47.02,110.91,581.18,460.28,723.93,677.7,605.49,2.0,2679,ventilation only,very bright,low activity
night,20.09,46.95,114.66,584.87,451.54,722.16,682.69,609.46,2.0,2679,eco mode,dim,low activity
night,20.01,51.42,114.09,579.7,461.19,731.13,681.06,609.42,2.0,2679,off,very bright,moderate activity
night,17.99,52.17,119.62,592.99,496.03,726.7,713.91,658.13,0.0,5820,maintenance mode,bright,moderate activity
night,19.16,52.73,134.67,585.91,470.46,727.0,693.17,622.24,1.0,7963,off,moderate,low activity
night,19.7,47.45,107.95,589.1,469.89,728.12,674.62,606.61,2.0,2679,eco mode,moderate,high activity
night,18.82,53.44,125.07,592.89,459.55,741.37,704.32,631.38,1.0,6847,eco mode,moderate,high activity
night,19.46,48.15,118.14,583.1,470.49,722.99,681.94,607.03,2.0,2679,off,bright,low activity
night,19.45,47.95,116.52,579.28,458.22,727.58,679.0,614.87,2.0,2679,heating active,bright,moderate activity
night,22.17,44.93,108.41,576.56,445.26,727.13,682.89,602.93,2.0,6431,cooling active,bright,low activity
evening,22.77,51.42,91.32,609.54,489.75,726.7,685.75,618.71,1.0,3856,maintenance mode,bright,moderate activity
afternoon,20.63,48.23,107.33,585.39,445.23,726.7,673.45,614.74,2.0,6431,off,very bright,high activity
morning,18.9,51.42,115.16,598.39,504.84,734.98,701.31,622.07,1.0,5693,maintenance mode,very bright,high activity
afternoon,20.58,51.65,109.46,579.64,459.63,721.66,685.06,612.77,1.0,5172,eco mode,bright,moderate activity
morning,17.23,52.79,123.5,577.74,473.39,726.7,660.97,592.75,2.0,9184,maintenance mode,moderate,low activity
night,18.99,48.33,120.3,575.9,460.42,727.38,673.93,609.23,1.0,2679,eco mode,very bright,moderate activity
afternoon,20.01,51.42,96.31,574.12,487.53,696.75,643.86,563.63,2.0,1903,off,very bright,low activity
night,18.82,48.73,120.1,586.7,476.12,730.07,681.53,609.22,1.0,2679,ventilation only,very bright,moderate activity
night,18.95,48.29,121.86,582.96,461.98,725.83,686.82,614.8,1.0,2679,maintenance mode,dim,moderate activity
afternoon,23.11,48.26,114.02,580.64,454.13,718.66,685.83,597.37,1.0,4507,cooling active,very bright,low activity
night,18.58,48.94,123.3,584.03,462.07,723.28,687.56,612.54,1.0,2679,maintenance mode,bright,low activity
night,18.57,48.94,121.18,579.7,468.24,724.23,678.07,620.47,1.0,2679,cooling active,very bright,moderate activity
night,18.46,49.12,117.6,581.31,482.19,726.7,683.95,616.55,1.0,2679,ventilation only,moderate,high activity
night,18.46,49.12,118.14,579.32,469.29,733.99,685.73,624.25,1.0,2679,maintenance mode,moderate,moderate activity
night,18.35,49.28,114.98,581.82,473.21,729.17,690.79,621.87,1.0,2679,cooling active,bright,high activity
night,18.32,49.29,120.97,584.68,469.46,726.06,683.78,615.19,1.0,2679,cooling active,moderate,moderate activity
night,18.31,49.13,117.96,582.39,489.6,729.59,682.89,623.46,1.0,2679,off,bright,low activity
night,18.12,49.47,115.4,588.89,480.95,731.22,699.59,635.5,1.0,2679,heating active,bright,moderate activity
night,17.93,49.9,120.87,581.26,491.59,732.17,695.74,629.81,1.0,2679,ventilation only,bright,moderate activity
night,17.92,49.84,117.85,587.34,489.28,734.91,682.76,623.47,1.0,2679,ventilation only,very bright,low activity
night,17.92,49.68,117.49,583.28,477.67,733.27,687.57,630.63,1.0,2679,cooling active,very bright,moderate activity
evening,24.24,47.56,114.2,581.64,457.68,727.1,680.88,620.55,1.0,4507,ventilation only,very bright,moderate activity
night,17.91,49.58,121.65,580.05,479.12,732.7,694.52,619.96,1.0,2679,maintenance mode,very bright,low activity
night,17.85,49.68,122.86,577.94,488.33,730.63,692.28,629.9,1.0,2679,eco mode,dim,low activity
night,17.74,49.9,113.18,586.95,492.99,726.7,701.96,633.82,1.0,2679,cooling active,very bright,high activity
morning,19.51,51.42,127.9,543.13,520.59,716.84,666.61,593.9,2.0,1458,maintenance mode,bright,low activity
morning,19.89,57.29,131.61,562.01,467.55,726.7,657.14,588.47,1.0,9385,off,bright,low activity
morning,16.96,53.65,122.62,581.52,500.54,732.54,672.5,599.75,2.0,9184,ventilation only,dim,low activity
night,17.6,50.17,113.99,585.23,503.94,744.91,695.17,631.43,1.0,2679,cooling active,very dim,moderate activity
night,17.67,49.98,114.33,583.3,502.17,735.65,691.49,633.58,1.0,2679,ventilation only,very bright,high activity
night,17.68,49.88,118.35,582.05,501.3,733.07,700.99,634.55,1.0,2679,maintenance mode,moderate,high activity
morning,17.57,53.11,122.86,592.61,500.59,751.28,701.16,649.04,1.0,1374,eco mode,very dim,low activity
night,17.5,50.38,121.15,587.93,488.21,739.51,694.36,629.08,1.0,2679,eco mode,bright,high activity
evening,23.2,51.42,126.84,579.13,394.34,726.7,638.04,548.97,2.0,9658,off,moderate,low activity
night,19.5,51.42,104.44,555.56,471.33,721.74,678.27,620.89,1.0,2847,maintenance mode,very bright,moderate activity
morning,17.42,50.5,118.93,585.07,489.26,726.7,699.21,641.07,1.0,2679,maintenance mode,bright,high activity
morning,17.3,50.72,117.6,580.83,513.71,740.03,700.85,640.61,1.0,2679,heating active,very bright,low activity
morning,17.23,51.42,119.95,587.06,494.19,737.77,696.68,646.1,1.0,2679,ventilation only,very bright,high activity
morning,17.26,51.42,113.5,584.9,487.59,747.52,700.77,636.19,1.0,2679,eco mode,very bright,moderate activity
night,19.58,52.69,109.69,562.37,483.72,722.85,675.89,613.69,1.0,2847,maintenance mode,very dim,low activity
morning,17.19,50.75,113.73,584.71,496.99,737.32,703.85,637.71,1.0,2679,eco mode,moderate,low activity
morning,17.17,51.42,115.82,584.4,500.45,748.08,698.96,646.9,1.0,2679,heating active,very bright,moderate activity
morning,17.14,50.83,114.63,585.28,501.12,739.47,698.56,642.31,1.0,2679,ventilation only,bright,moderate activity
afternoon,20.53,45.84,86.86,597.83,484.5,726.7,705.96,660.3,0.0,1826,heating active,bright,moderate activity
morning,17.05,50.99,119.01,596.46,497.99,751.14,700.38,639.59,1.0,2679,ventilation only,very bright,moderate activity
morning,17.05,50.92,119.45,584.94,498.48,743.6,706.42,651.7,1.0,2679,heating active,very bright,moderate activity
afternoon,22.75,51.66,107.62,553.45,495.52,705.51,671.01,600.29,2.0,7058,eco mode,bright,low activity
morning,17.05,51.42,117.8,583.74,506.24,744.46,705.59,645.39,1.0,2679,heating active,very bright,moderate activity
morning,16.98,50.96,119.02,585.57,495.1,746.99,695.93,647.52,1.0,2679,ventilation only,moderate,high activity
morning,19.49,55.68,126.16,563.72,477.34,729.69,693.11,619.47,1.0,2847,maintenance mode,very bright,moderate activity
morning,16.99,51.42,113.64,580.88,493.12,743.54,701.63,639.78,1.0,2679,eco mode,very bright,low activity
afternoon,18.57,51.95,109.87,562.84,480.22,703.36,627.33,571.47,1.0,7058,cooling active,bright,low activity
night,17.96,49.82,120.34,586.6,484.71,728.86,683.66,608.9,1.0,2679,heating active,very bright,moderate activity
morning,16.95,50.96,119.99,584.79,494.0,734.23,701.14,646.04,1.0,2679,ventilation only,very bright,moderate activity
evening,23.75,50.76,138.02,559.47,399.8,684.48,637.12,553.33,2.0,5172,off,very bright,low activity
morning,16.81,51.24,117.53,585.06,503.87,755.29,694.74,641.3,1.0,2679,cooling active,very bright,low activity
morning,16.8,51.19,117.95,577.02,498.79,737.17,694.17,643.16,1.0,2679,heating active,bright,high activity
morning,16.71,51.42,118.92,586.1,501.24,756.02,704.28,655.54,1.0,2679,cooling active,bright,moderate activity
morning,16.86,50.85,111.58,586.34,490.39,742.58,699.65,635.48,1.0,2679,maintenance mode,very bright,high activity
evening,21.91,46.83,120.17,589.79,462.01,733.2,688.33,627.45,3.0,2105,heating active,moderate,moderate activity
night,19.1,51.42,118.69,591.82,378.24,726.7,650.17,557.08,1.0,3418,eco mode,moderate,low activity
night,22.12,55.54,133.19,557.96,432.05,689.8,647.45,562.32,2.0,4761,off,moderate,low activity
evening,22.48,51.42,106.08,552.46,455.4,695.1,654.98,593.33,2.0,5214,off,moderate,high activity
morning,18.57,44.19,85.52,601.04,472.24,766.81,720.2,657.74,1.0,6431,off,very bright,low activity
afternoon,19.25,54.13,122.36,581.61,487.6,726.7,690.39,618.54,1.0,4507,maintenance mode,very bright,moderate activity
morning,18.48,45.25,86.8,590.56,448.51,726.7,727.96,675.53,1.0,6431,maintenance mode,very bright,low activity
morning,18.38,45.7,92.37,594.52,462.77,726.7,708.15,650.12,1.0,6431,eco mode,bright,high activity
evening,21.48,51.42,103.56,601.6,458.36,726.7,687.59,606.93,2.0,8374,ventilation only,bright,moderate activity
morning,17.69,47.78,104.79,590.88,476.17,757.22,720.77,656.5,1.0,6431,maintenance mode,very bright,moderate activity
morning,17.49,48.15,100.37,587.55,467.45,755.56,719.18,641.23,1.0,6431,ventilation only,moderate,low activity
morning,17.39,51.42,106.02,597.27,467.58,765.91,721.32,657.32,1.0,6431,eco mode,bright,low activity
morning,16.83,48.19,96.7,595.26,522.2,767.67,728.85,659.44,1.0,6431,cooling active,bright,moderate activity
evening,23.05,51.42,128.37,587.31,437.96,716.45,681.12,579.2,2.0,1482,maintenance mode,very bright,moderate activity
afternoon,19.46,54.54,87.28,559.12,518.35,738.27,699.37,628.71,0.0,6817,eco mode,very bright,low activity
night,19.23,55.93,116.93,590.99,495.08,726.7,689.65,624.82,1.0,5693,ventilation only,moderate,moderate activity
evening,22.95,53.3,111.43,550.41,412.35,711.51,665.33,585.94,2.0,5214,cooling active,very bright,low activity
afternoon,17.71,47.41,74.6,605.11,536.75,766.37,724.83,666.8,0.0,6431,ventilation only,dim,moderate activity
afternoon,17.91,47.35,77.41,604.15,524.45,759.07,726.11,671.02,0.0,6431,off,bright,moderate activity
afternoon,18.35,46.78,81.65,605.42,539.43,758.07,715.54,664.62,0.0,6431,eco mode,very bright,moderate activity
afternoon,18.87,45.88,77.34,602.79,552.23,726.7,728.73,671.75,0.0,6431,off,very bright,low activity
afternoon,19.14,45.58,76.61,601.93,534.98,764.19,724.21,675.6,0.0,6431,heating active,very bright,moderate activity
evening,22.07,46.08,87.99,556.09,519.56,744.08,704.31,658.23,1.0,2586,heating active,very bright,high activity
morning,19.98,53.99,104.25,562.04,485.94,726.7,675.79,609.08,1.0,4703,cooling active,very bright,moderate activity
night,20.47,55.18,147.72,568.55,439.55,707.12,671.14,576.9,1.0,9184,ventilation only,moderate,low activity
afternoon,19.32,46.97,85.19,599.17,520.5,750.99,712.7,643.75,0.0,6431,ventilation only,bright,low activity
afternoon,19.46,46.99,93.77,598.58,458.48,722.21,676.67,612.09,1.0,6431,maintenance mode,moderate,low activity
afternoon,19.3,53.8,92.39,586.55,467.23,720.24,683.07,618.55,1.0,6528,eco mode,bright,moderate activity
afternoon,19.88,46.56,92.83,597.82,447.67,723.09,681.31,605.25,2.0,6431,maintenance mode,bright,moderate activity
afternoon,19.87,46.69,95.09,593.64,459.04,719.49,677.38,614.54,2.0,6431,eco mode,very dim,low activity
afternoon,20.12,51.42,92.25,592.11,449.72,716.12,668.76,611.72,2.0,6431,cooling active,bright,moderate activity
afternoon,19.48,55.22,83.6,567.93,544.05,749.89,707.83,644.65,1.0,3592,cooling active,very bright,low activity
afternoon,22.12,45.8,115.43,583.31,462.2,726.7,681.7,614.62,1.0,1374,cooling active,dim,low activity
afternoon,20.61,45.85,92.88,589.69,462.25,726.42,685.78,609.88,2.0,6431,cooling active,moderate,moderate activity
afternoon,20.94,45.24,99.52,590.93,460.51,726.7,670.52,622.75,2.0,6431,heating active,very bright,moderate activity
afternoon,21.07,45.05,97.34,592.22,457.49,728.85,690.51,605.45,2.0,6431,heating active,very bright,moderate activity
afternoon,21.07,45.16,96.34,596.54,450.15,720.04,677.03,626.43,2.0,6431,maintenance mode,bright,high activity
afternoon,21.18,45.0,97.7,588.19,459.16,722.34,683.54,614.75,2.0,6431,eco mode,very bright,moderate activity
afternoon,21.2,45.1,95.99,588.34,459.05,719.28,677.06,602.95,2.0,6431,maintenance mode,very bright,moderate activity
morning,17.61,53.29,115.45,597.12,493.42,726.7,724.46,665.78,1.0,1374,maintenance mode,bright,moderate activity
afternoon,21.71,52.58,104.36,611.82,468.2,743.2,691.38,612.99,1.0,7241,heating active,bright,moderate activity
afternoon,20.82,46.6,102.18,582.56,466.08,726.7,682.48,609.97,2.0,6431,maintenance mode,moderate,high activity
afternoon,21.17,46.13,100.4,584.65,464.41,724.52,681.02,609.49,2.0,6431,off,very bright,moderate activity
afternoon,19.71,49.74,103.46,584.71,436.97,725.42,678.12,596.0,2.0,6431,heating active,bright,moderate activity
afternoon,19.5,50.29,101.05,581.04,449.52,727.35,674.39,596.88,2.0,6431,cooling active,very bright,moderate activity
afternoon,19.87,49.56,102.87,587.08,458.07,722.09,665.91,601.5,2.0,6431,off,very bright,high activity
afternoon,20.6,48.12,110.44,583.32,447.77,720.2,661.67,612.54,2.0,6431,ventilation only,dim,moderate activity
night,18.31,51.42,117.5,585.51,403.34,735.95,669.49,580.0,1.0,3418,maintenance mode,very bright,moderate activity
afternoon,20.77,47.92,110.74,581.78,436.98,726.7,677.81,599.58,2.0,6431,eco mode,very dim,low activity
afternoon,21.23,51.42,109.2,581.54,447.65,710.87,657.85,589.66,2.0,6431,eco mode,dim,moderate activity
night,19.93,49.36,116.69,591.65,440.46,726.7,690.71,613.9,1.0,2105,maintenance mode,bright,moderate activity
afternoon,20.21,51.42,108.78,580.22,446.22,723.65,675.6,605.38,2.0,6431,ventilation only,bright,low activity
morning,17.57,51.42,119.66,588.19,487.73,752.32,703.94,657.71,1.0,1374,maintenance mode,very bright,low activity
afternoon,21.23,50.64,93.09,613.1,469.69,726.7,695.07,620.48,1.0,7241,heating active,bright,low activity
afternoon,19.82,50.3,114.84,583.06,439.08,716.79,663.12,599.34,2.0,6431,cooling active,dim,high activity
evening,19.92,51.42,111.73,585.82,449.4,713.33,663.13,603.02,2.0,6431,cooling active,bright,high activity
evening,19.87,51.42,109.06,581.27,443.7,716.73,661.22,595.31,2.0,6431,off,bright,moderate activity
evening,19.97,51.42,110.52,580.32,434.78,720.67,669.13,594.89,2.0,6431,off,bright,high activity
evening,20.72,48.83,116.15,587.83,439.7,717.39,667.04,599.73,2.0,6431,ventilation only,very bright,low activity
evening,21.05,51.42,106.17,581.99,447.75,710.49,676.66,597.44,2.0,6431,ventilation only,very bright,low activity
afternoon,18.1,53.82,110.04,560.24,494.7,704.56,642.64,564.68,1.0,7058,heating active,very bright,low activity
afternoon,21.55,51.58,122.13,572.79,466.63,706.92,648.14,566.57,1.0,3074,off,very bright,moderate activity
morning,18.28,50.34,80.36,558.71,509.37,726.7,702.28,645.13,2.0,9241,off,dim,low activity
afternoon,18.35,46.78,81.65,605.42,539.43,758.07,715.54,664.62,0.0,6431,eco mode,very bright,moderate activity
evening,20.93,51.42,104.85,581.02,445.31,713.13,670.01,599.36,2.0,6431,off,bright,moderate activity
evening,21.17,47.73,112.18,577.79,436.04,712.8,663.83,605.22,2.0,6431,eco mode,very bright,low activity
evening,20.71,48.93,117.56,575.45,433.16,721.7,664.27,591.54,1.0,6431,off,dim,low activity
evening,20.68,51.42,113.14,582.2,453.86,710.84,663.22,604.1,2.0,6431,maintenance mode,bright,low activity
evening,20.77,48.78,116.68,583.26,441.14,713.25,667.59,593.27,2.0,6431,maintenance mode,very bright,low activity
morning,19.86,51.42,129.19,564.28,486.76,734.22,678.41,624.74,1.0,1903,heating active,very bright,moderate activity
evening,21.22,47.79,115.15,579.78,440.35,720.06,665.27,597.85,2.0,6431,ventilation only,dim,low activity
evening,21.68,47.43,126.31,569.06,458.57,716.53,662.92,600.77,2.0,6431,cooling active,bright,low activity
afternoon,18.05,53.91,95.31,565.64,484.42,713.03,637.06,587.16,1.0,7058,cooling active,bright,low activity
evening,22.38,47.42,148.38,570.13,438.7,726.7,658.22,575.89,1.0,6431,ventilation only,bright,low activity
night,20.57,50.06,115.14,593.2,412.1,728.9,671.19,607.26,1.0,9658,heating active,very bright,moderate activity
morning,19.75,54.09,124.35,578.41,490.25,739.97,693.09,627.38,1.0,1826,maintenance mode,moderate,low activity
evening,22.49,47.67,134.47,569.18,405.87,704.03,644.06,572.92,3.0,6431,off,very dim,low activity
evening,22.4,47.74,137.62,573.67,396.83,702.96,646.52,563.61,3.0,6431,heating active,bright,low activity
morning,19.23,52.94,108.2,558.02,478.29,724.15,682.74,616.57,1.0,2847,eco mode,very bright,high activity
evening,21.66,49.28,134.05,575.47,403.93,701.25,660.61,589.15,3.0,6431,eco mode,dim,low activity
evening,21.5,51.42,130.11,575.69,398.66,717.1,660.81,590.33,3.0,6431,eco mode,very bright,low activity
evening,21.42,49.3,125.6,577.81,417.01,707.3,655.32,578.06,1.0,6431,ventilation only,bright,low activity
night,17.5,53.31,126.71,594.67,499.22,726.7,713.91,650.99,0.0,5820,eco mode,very bright,low activity
evening,21.5,49.14,133.82,578.03,394.9,726.7,657.86,586.95,3.0,6431,maintenance mode,very bright,low activity
morning,19.01,55.13,110.4,571.52,444.36,727.96,688.45,619.54,2.0,3074,ventilation only,bright,moderate activity
evening,21.49,48.85,126.91,577.74,422.98,713.05,665.98,591.92,3.0,6431,heating active,very dim,low activity
evening,21.5,48.98,124.32,575.27,404.47,720.19,668.62,598.2,3.0,6431,heating active,bright,low activity
night,21.95,52.14,116.91,577.44,429.59,705.14,669.14,591.57,1.0,4507,cooling active,bright,low activity
night,20.41,53.21,98.2,609.1,461.21,725.34,675.23,588.62,1.0,9127,off,bright,moderate activity
night,20.29,51.98,112.27,564.7,451.75,717.53,670.06,593.96,1.0,2847,cooling active,bright,moderate activity
night,21.93,50.94,105.22,551.25,457.45,726.7,689.01,620.23,1.0,9241,maintenance mode,very bright,moderate activity
evening,23.18,45.48,133.75,574.57,433.53,720.82,676.04,598.42,2.0,6431,heating active,very bright,low activity
evening,23.5,44.81,132.62,572.57,429.46,726.7,664.62,603.06,2.0,6431,cooling active,very bright,low activity
evening,23.26,44.97,116.26,592.13,421.68,730.08,681.73,615.43,1.0,2105,cooling active,moderate,moderate activity
evening,23.47,44.97,125.61,577.07,438.77,722.17,676.11,606.77,2.0,6431,cooling active,very bright,low activity
evening,23.3,45.28,127.34,578.22,440.47,721.97,671.68,613.51,2.0,6431,maintenance mode,very dim,low activity
evening,22.19,47.59,148.6,574.16,403.61,711.64,669.58,599.39,2.0,7963,eco mode,very bright,low activity
afternoon,24.01,51.42,106.98,555.5,406.86,704.69,651.01,590.21,2.0,5214,ventilation only,dim,low activity
evening,23.07,48.59,89.93,611.13,447.32,706.71,662.5,573.32,1.0,9127,maintenance mode,bright,moderate activity
evening,22.27,47.01,124.8,575.78,432.97,714.91,673.53,608.42,2.0,6431,ventilation only,very bright,low activity
afternoon,19.72,51.42,108.44,591.95,481.19,726.7,692.99,628.94,2.0,2679,eco mode,dim,high activity
evening,21.97,47.48,125.11,581.9,438.79,725.02,680.02,618.14,2.0,6431,maintenance mode,bright,low activity
evening,22.05,47.22,124.21,578.04,431.24,716.09,671.63,602.98,2.0,6431,heating active,very bright,low activity
evening,22.19,51.42,125.77,587.24,432.72,715.81,678.66,614.28,2.0,6431,maintenance mode,very bright,low activity
evening,22.56,45.88,122.79,574.34,439.66,720.51,672.66,617.85,2.0,6431,off,bright,low activity
evening,22.84,44.67,118.35,578.13,440.37,726.63,682.75,618.78,2.0,6431,eco mode,very bright,low activity
evening,22.64,51.42,120.62,582.94,429.58,728.19,680.18,614.52,2.0,6431,maintenance mode,very bright,moderate activity
afternoon,22.99,51.42,128.93,566.16,399.41,702.92,653.85,574.54,2.0,3074,cooling active,very dim,low activity
evening,22.54,51.42,132.75,578.42,449.85,707.14,658.61,581.43,2.0,9184,heating active,moderate,low activity
night,20.97,57.51,140.52,558.73,441.82,706.12,654.37,573.95,1.0,4761,cooling active,dim,low activity
evening,22.14,45.47,114.65,582.54,434.56,734.23,687.19,613.97,2.0,6431,heating active,very bright,low activity
night,22.09,44.96,117.71,580.28,440.05,728.02,675.08,615.09,2.0,6431,eco mode,very bright,low activity
night,21.81,45.34,113.48,577.6,438.36,726.7,679.63,617.73,1.0,6431,cooling active,moderate,high activity
night,21.6,45.84,113.76,584.12,433.79,726.7,690.68,609.92,2.0,6431,ventilation only,bright,high activity
afternoon,18.27,52.12,94.91,604.19,491.91,765.55,738.72,672.67,1.0,4129,off,bright,moderate activity
night,21.33,46.13,117.21,581.56,446.7,729.45,692.29,607.9,2.0,6431,eco mode,very bright,moderate activity
night,19.18,50.89,102.51,594.51,486.07,746.47,707.57,637.57,1.0,8374,cooling active,very bright,low activity
evening,24.2,49.31,104.2,605.25,450.21,726.75,683.36,606.33,1.0,7241,ventilation only,bright,moderate activity
night,21.06,46.76,118.23,584.43,448.76,730.65,693.51,625.82,2.0,6431,cooling active,bright,moderate activity
morning,17.04,49.81,85.98,601.61,541.9,763.1,707.86,646.68,1.0,7963,ventilation only,very bright,moderate activity
night,20.69,47.47,113.84,577.92,452.05,725.78,689.07,616.06,2.0,6431,off,very bright,high activity
night,18.82,51.42,139.11,584.06,479.73,739.43,694.58,614.98,1.0,7963,maintenance mode,very bright,high activity
night,20.21,48.22,115.01,583.69,457.05,735.36,688.22,614.52,2.0,6431,maintenance mode,bright,moderate activity
night,20.27,47.96,115.25,584.82,455.01,724.84,694.04,612.34,1.0,6431,ventilation only,very bright,moderate activity
night,20.18,47.96,116.6,581.0,455.42,728.47,704.03,623.84,1.0,6431,heating active,moderate,moderate activity
evening,24.8,48.16,116.47,594.09,389.23,713.38,658.72,581.62,3.0,7241,eco mode,bright,low activity
evening,23.11,46.13,111.13,585.62,457.65,702.23,664.63,559.99,1.0,4129,off,very bright,low activity
afternoon,19.31,53.7,93.14,581.14,463.98,727.81,682.33,614.88,1.0,6528,off,very bright,low activity
night,19.95,48.45,123.03,578.96,455.05,727.26,681.45,637.97,1.0,6431,maintenance mode,very bright,low activity
morning,18.99,51.42,101.61,553.59,507.51,730.08,668.32,603.62,1.0,4703,off,bright,moderate activity
night,20.03,48.02,120.71,577.71,455.66,735.98,696.72,632.13,1.0,6431,maintenance mode,very bright,high activity
evening,21.44,49.0,103.68,597.65,447.16,732.47,680.07,607.27,2.0,8374,ventilation only,very bright,moderate activity
morning,19.64,58.17,119.75,550.52,464.77,709.56,657.75,589.84,2.0,3592,cooling active,very bright,low activity
night,19.45,51.42,123.72,584.34,465.71,735.46,701.15,627.64,1.0,6431,off,very bright,moderate activity
night,19.38,51.42,118.87,580.15,472.73,733.09,687.04,615.93,1.0,6431,ventilation only,very bright,moderate activity
night,19.63,54.84,119.29,598.65,483.56,734.71,691.2,617.98,1.0,5693,maintenance mode,very bright,high activity
afternoon,18.8,54.31,91.4,607.92,520.1,762.05,725.01,654.05,1.0,3856,off,moderate,low activity
night,19.22,51.42,119.67,586.02,471.76,736.12,688.71,647.11,1.0,6431,ventilation only,very bright,moderate activity
afternoon,18.43,51.42,88.35,609.22,462.97,762.49,710.22,645.32,0.0,3418,ventilation only,moderate,low activity
night,19.42,51.42,116.65,586.99,457.52,731.57,695.05,636.85,1.0,6431,eco mode,very bright,high activity
night,19.77,52.94,137.84,582.7,436.86,732.83,688.44,599.66,1.0,6847,heating active,bright,moderate activity
night,20.24,54.98,122.01,560.41,465.15,726.7,682.91,617.49,1.0,9385,cooling active,bright,low activity
night,18.91,49.85,123.51,578.89,462.77,739.98,689.21,635.79,1.0,6431,heating active,moderate,low activity
night,18.83,50.02,121.42,578.58,482.26,734.73,697.16,627.28,1.0,6431,maintenance mode,dim,low activity
night,19.48,51.42,124.59,580.0,480.01,749.0,699.62,639.9,1.0,6431,ventilation only,moderate,moderate activity
night,19.03,51.42,127.53,580.56,480.65,742.8,705.63,621.9,1.0,6431,ventilation only,very bright,moderate activity
night,18.61,50.29,124.46,584.11,482.88,740.09,697.12,633.85,1.0,6431,cooling active,bright,moderate activity
night,18.64,50.16,126.03,582.96,483.46,743.8,696.23,642.58,1.0,6431,eco mode,very bright,moderate activity
night,18.54,50.41,124.02,575.95,481.55,742.39,700.77,635.73,1.0,6431,eco mode,moderate,low activity
night,18.62,50.19,125.23,577.07,481.66,743.68,698.01,647.38,1.0,6431,heating active,dim,high activity
night,18.51,50.4,123.55,579.79,485.29,739.66,706.99,645.95,1.0,6431,heating active,very bright,high activity
evening,23.06,48.87,118.68,590.5,444.74,716.47,674.38,575.55,1.0,5693,off,very bright,moderate activity
morning,17.87,54.81,117.06,593.23,515.93,733.74,695.27,631.39,1.0,9658,maintenance mode,very bright,moderate activity
night,17.5,48.63,114.65,581.72,486.75,726.7,697.31,625.39,2.0,8052,maintenance mode,bright,moderate activity
morning,20.48,50.1,99.53,579.6,454.38,717.02,664.94,595.9,1.0,6528,eco mode,dim,moderate activity
night,18.06,51.42,120.56,584.78,498.68,726.7,700.45,642.97,1.0,6431,eco mode,moderate,high activity
afternoon,19.6,48.5,84.98,622.35,537.69,759.9,726.54,653.56,0.0,1482,off,bright,low activity
morning,17.89,51.42,119.14,584.32,494.82,739.44,709.49,651.92,1.0,6431,heating active,very bright,low activity
afternoon,18.09,53.49,110.63,598.23,457.06,726.7,698.93,599.89,1.0,2105,ventilation only,moderate,low activity
morning,17.86,51.42,124.86,582.83,504.93,746.98,699.84,648.9,1.0,9184,cooling active,moderate,low activity
morning,17.75,51.65,123.95,583.15,499.4,748.96,708.24,650.42,1.0,9184,off,bright,moderate activity
morning,17.88,51.42,127.09,578.75,494.62,749.75,706.07,653.95,1.0,9184,eco mode,very bright,high activity
morning,17.79,51.42,128.03,583.84,486.48,749.65,702.88,633.17,1.0,9184,heating active,moderate,high activity
morning,17.73,51.57,129.34,573.27,478.61,741.34,706.67,641.36,1.0,9184,maintenance mode,dim,moderate activity
morning,17.68,51.62,128.23,578.86,488.54,741.81,705.15,651.96,1.0,9184,off,very bright,moderate activity
morning,17.71,51.64,123.2,582.84,499.25,734.54,707.89,664.75,1.0,9184,ventilation only,bright,high activity
morning,17.63,51.75,125.94,581.74,504.87,751.2,711.91,642.18,1.0,9184,off,very bright,high activity
